unique_id	str_order	occ_cur	T_mean_sum	T_inertia	featureid
812	1	0.961293779	16.64257369	165.9234989	201476414
810	2	0.961293779	16.64257369	165.9234989	201476414
814	2	0.979284132	14.65224688	298.9934538	201476415
815	1	0.955971278	15.18162745	201.4340643	201476416
759	2	0.985196243	14.0711647	284.9206767	201476420
809	1	0.992750712	12.74769904	388.2342879	201476423
791	2	0.946090184	14.24617212	334.8116766	201476424
816	1	0.976791266	14.60075591	303.8325172	201476426
820	1	0.976791266	14.60075591	303.8325172	201476426
819	1	0.976791266	14.60075591	303.8325172	201476426
817	2	0.976791266	14.60075591	303.8325172	201476426
818	1	0.976791266	14.60075591	303.8325172	201476426
823	1	0.9912268	13.00430626	467.4423586	201476427
824	1	0.9912268	13.00430626	467.4423586	201476427
821	2	0.9912268	13.00430626	467.4423586	201476427
822	1	0.9912268	13.00430626	467.4423586	201476427
826	2	0.953131544	17.056348	177.7129548	201476432
825	1	0.953131544	17.056348	177.7129548	201476432
828	1	0.953131544	17.056348	177.7129548	201476432
829	1	0.953131544	17.056348	177.7129548	201476432
827	2	0.953131544	17.056348	177.7129548	201476432
830	2	0.82287555	17.39676543	161.9497211	201476433
836	1	0.82287555	17.39676543	161.9497211	201476433
833	1	0.82287555	17.39676543	161.9497211	201476433
832	2	0.82287555	17.39676543	161.9497211	201476433
834	1	0.82287555	17.39676543	161.9497211	201476433
831	2	0.82287555	17.39676543	161.9497211	201476433
835	1	0.82287555	17.39676543	161.9497211	201476433
838	2	0.94685074	16.36333069	165.6920165	201476440
837	1	0.94685074	16.36333069	165.6920165	201476440
839	1	0.94685074	16.36333069	165.6920165	201476440
804	3	0.901548707	14.91662808	283.5114008	201476441
841	3	0.883902833	15.53572733	216.4240584	201476442
842	1	0.883902833	15.53572733	216.4240584	201476442
843	3	0.883902833	15.53572733	216.4240584	201476442
844	3	0.883902833	15.53572733	216.4240584	201476442
845	3	0.883902833	15.53572733	216.4240584	201476442
840	3	0.883902833	15.53572733	216.4240584	201476442
846	1	0.917615636	15.70574749	229.5929766	201476443
847	2	0.917615636	15.70574749	229.5929766	201476443
848	2	0.917615636	15.70574749	229.5929766	201476443
849	2	0.917615636	15.70574749	229.5929766	201476443
851	1	0.917615636	15.70574749	229.5929766	201476443
850	1	0.917615636	15.70574749	229.5929766	201476443
854	2	0.916979899	14.96250401	294.8044853	201476446
853	2	0.916979899	14.96250401	294.8044853	201476446
856	3	0.984847026	13.45183459	321.6471104	201476450
855	1	0.970216043	15.25037168	199.7727881	201476451
857	2	0.955041092	15.94830966	194.2721408	201476461
858	1	0.742646485	16.49098661	184.0687432	201476462
860	1	0.700014129	17.79508628	170.1814017	201476485
863	1	0.700014129	17.79508628	170.1814017	201476485
862	1	0.700014129	17.79508628	170.1814017	201476485
859	1	0.700014129	17.79508628	170.1814017	201476485
861	1	0.700014129	17.79508628	170.1814017	201476485
813	1	0.982342229	14.17236389	298.7787326	201476498
864	1	0.971034145	15.14794622	170.66837	201476513
865	1	0.966258774	15.27189024	181.5901948	201476514
869	2	0.916116324	16.08072068	215.2996832	201476520
870	1	0.916116324	16.08072068	215.2996832	201476520
868	2	0.916116324	16.08072068	215.2996832	201476520
872	6	NA	NA	NA	201476521
871	1	NA	NA	NA	201476521
867	6	NA	NA	NA	201476521
873	1	NA	NA	NA	201476521
874	6	NA	NA	NA	201476521
852	2	0.972675928	13.52734197	359.9236069	201476526
875	1	0.972675928	13.52734197	359.9236069	201476526
877	1	0.989415282	13.31363847	423.0364145	201476528
876	1	0.989415282	13.31363847	423.0364145	201476528
880	1	0.982140699	14.26170894	364.7721534	201476529
879	2	0.982140699	14.26170894	364.7721534	201476529
878	3	0.982140699	14.26170894	364.7721534	201476529
881	1	0.957620938	15.9346645	204.5892164	201476543
882	1	0.947220051	17.57156424	157.1440155	201476550
883	2	0.947220051	17.57156424	157.1440155	201476550
885	1	0.947220051	17.57156424	157.1440155	201476550
884	2	0.947220051	17.57156424	157.1440155	201476550
